127.0.0.1 - - [09/Apr/2024:09:57:14 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:42:59 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:51:59 +0530] "OPTIONS /LogFetcher/logFetcher HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:52:08 +0530] "POST /LogFetcher/logFetcher HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:53:21 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:53:21 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:53:57 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:53:57 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:54:49 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:54:49 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:55:54 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:55:54 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:56:26 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:56:26 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:56:42 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=recordnumber&searchquery=125 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:56:42 +0530] "GET /LogFetcher/logFetcher?neededfield=recordnumber&searchquery=125 HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:57:35 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:57:35 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:58:20 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:10:58:20 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:00:05 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:00:05 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:00:40 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:00:40 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:00:58 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:00:58 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:01:19 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:01:19 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:01:54 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:01:54 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:02:18 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:02:18 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:02:36 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=category&searchquery=0 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:02:36 +0530] "GET /LogFetcher/logFetcher?neededfield=category&searchquery=0 HTTP/1.1" 200 1455
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:04:05 +0530] "OPTIONS /LogFetcher/logFetcher HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:04:27 +0530] "POST /LogFetcher/logFetcher HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:04:45 +0530] "OPTIONS /LogFetcher/logFetcher HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:04:45 +0530] "POST /LogFetcher/logFetcher HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:05:11 +0530] "POST /LogFetcher/logFetcher HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:05:15 +0530] "OPTIONS /LogFetcher/logFetcher HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:05:26 +0530] "POST /LogFetcher/logFetcher HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:05:48 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:05:49 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:05:55 +0530] "OPTIONS /LogFetcher/logFetcher HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:06:18 +0530] "POST /LogFetcher/logFetcher HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:54:48 +0530] "OPTIONS /LogFetcher/logFetcher HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:54:53 +0530] "OPTIONS /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:54:53 +0530] "GET /LogFetcher/logFetcher?neededfield=eventcode&searchquery=163 HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [09/Apr/2024:11:55:10 +0530] "POST /LogFetcher/logFetcher HTTP/1.1" 200 54
